Wavelength	Flux	BestFit	SkyFlux
3957.309	6.151	7.504	37.907
3958.221	12.377	7.449	36.700
3959.132	13.531	7.365	37.646
3960.044	6.596	7.366	38.481
3960.956	8.125	7.414	36.736
3961.868	7.216	7.498	31.552
3962.780	7.247	7.654	26.214
3963.693	7.805	7.816	23.927
3964.606	5.488	7.873	23.655
3965.519	5.493	7.870	22.823
3966.432	8.431	7.970	20.171
3967.345	6.785	8.010	16.507
3968.259	7.384	7.989	13.624
3969.173	6.247	7.955	12.022
3970.087	9.945	7.922	11.803
3971.001	8.767	7.882	13.152
3971.915	12.230	7.854	15.980
3972.830	11.279	7.670	19.894
3973.745	7.130	7.538	23.939
3974.660	3.919	7.516	27.260
3975.575	3.256	7.446	29.136
3976.491	9.135	7.316	30.746
3977.407	9.821	7.365	32.798
3978.323	6.213	7.272	35.186
3979.239	9.051	7.237	37.609
3980.155	8.766	7.192	39.451
3981.072	6.861	6.940	40.986
3981.988	7.140	6.806	41.489
3982.905	7.825	6.608	40.728
3983.823	5.770	6.353	39.569
3984.740	2.632	6.098	39.443
3985.658	2.020	5.834	40.359
3986.576	1.160	5.547	40.387
3987.494	4.030	5.332	41.073
3988.412	0.001	5.258	42.768
3989.330	1.652	5.267	43.716
3990.249	6.696	5.364	43.652
3991.168	2.350	5.543	43.510
3992.087	2.397	5.767	44.421
3993.006	6.973	6.026	45.566
3993.926	5.383	6.304	44.746
3994.846	12.217	6.489	43.915
3995.766	9.936	6.666	42.952
3996.686	3.180	6.811	41.420
3997.606	6.568	6.851	41.473
3998.527	2.771	6.934	41.847
3999.447	4.178	7.017	42.794
4000.369	6.601	7.100	45.117
4001.290	5.839	7.272	46.799
4002.211	7.141	7.433	46.928
4003.133	8.601	7.454	47.124
4004.055	8.737	7.523	47.411
4004.977	6.052	7.665	45.692
4005.899	7.203	7.768	40.956
4006.822	9.486	7.778	38.242
4007.744	9.873	7.771	40.276
4008.667	8.747	7.800	44.447
4009.590	7.488	7.737	46.457
4010.514	5.255	7.699	46.692
4011.437	4.019	7.707	46.638
4012.361	7.376	7.625	46.921
4013.285	10.078	7.500	46.824
4014.209	6.472	7.449	46.585
4015.134	6.420	7.320	46.905
4016.058	6.745	7.110	47.609
4016.983	5.497	6.832	46.548
4017.908	3.814	6.596	45.314
4018.833	7.276	6.408	45.406
4019.759	8.513	6.180	47.044
4020.685	3.135	5.909	48.434
4021.610	2.327	5.685	48.712
4022.537	3.744	5.446	47.895
4023.463	2.428	5.329	47.750
4024.389	-0.183	5.392	47.629
4025.316	3.381	5.535	47.004
4026.243	2.553	5.657	46.607
4027.170	3.211	5.784	47.716
4028.098	3.014	5.975	48.759
4029.025	3.399	6.197	48.503
4029.953	7.291	6.455	47.968
4030.881	7.619	6.768	44.864
4031.809	5.157	7.051	41.877
4032.738	8.748	7.268	40.260
4033.667	9.737	7.494	38.634
4034.596	8.219	7.708	38.927
4035.525	7.451	7.867	41.124
4036.454	9.954	7.967	43.600
4037.383	8.670	8.042	46.168
4038.313	6.685	8.039	49.058
4039.243	9.285	8.066	50.237
4040.173	10.343	8.129	49.165
4041.104	11.038	8.232	47.489
4042.034	8.306	8.329	45.719
