Wavelength	Flux	BestFit	SkyFlux
4574.040	10.314	10.384	35.993
4575.094	9.917	10.373	36.615
4576.147	10.207	10.288	37.270
4577.201	9.027	10.201	37.728
4578.255	10.879	10.139	36.870
4579.310	10.568	10.103	36.072
4580.364	10.680	10.115	35.182
4581.419	10.672	10.130	33.573
4582.474	9.706	10.128	33.321
4583.529	9.728	10.152	34.130
4584.585	9.501	10.227	34.164
4585.640	9.958	10.170	34.062
4586.696	10.016	10.025	34.710
4587.753	10.598	9.881	34.535
4588.809	8.501	9.731	35.803
4589.866	10.233	9.524	37.058
4590.923	8.272	9.359	36.904
4591.980	9.481	9.283	35.489
4593.038	7.488	9.279	34.107
4594.095	9.803	9.306	34.032
4595.153	9.661	9.338	34.627
4596.211	9.256	9.366	33.938
4597.270	10.259	9.385	33.365
4598.329	10.123	9.416	33.560
4599.387	7.877	9.533	34.253
4600.447	8.454	9.712	34.528
4601.506	11.079	9.887	34.083
4602.566	7.943	9.997	34.078
4603.626	10.240	10.004	34.502
4604.686	9.861	9.998	33.773
4605.746	11.371	10.036	33.961
4606.807	7.838	10.033	34.557
4607.868	9.432	9.960	34.641
4608.929	9.014	9.904	35.277
4609.990	11.308	9.887	36.713
4611.052	9.230	9.840	37.156
4612.114	10.318	9.766	35.956
4613.176	9.047	9.735	34.875
4614.238	9.518	9.755	34.757
4615.301	8.720	9.768	35.092
4616.364	8.238	9.776	35.066
4617.427	10.368	9.792	34.969
4618.490	9.366	9.836	34.619
4619.553	9.224	9.953	34.354
4620.617	11.201	10.096	34.295
4621.681	11.011	10.184	34.585
4622.746	11.589	10.322	34.684
4623.810	11.981	10.332	35.817
4624.875	8.487	10.344	35.867
4625.940	9.598	10.331	34.945
4627.005	9.074	10.257	34.715
4628.071	9.553	10.184	34.669
4629.137	10.350	10.140	35.072
4630.203	10.012	10.172	34.739
4631.269	11.652	10.272	34.847
4632.335	11.550	10.320	35.051
4633.402	10.607	10.304	35.241
4634.469	10.323	10.306	35.115
4635.536	10.484	10.231	34.664
4636.604	11.773	10.257	34.414
4637.672	11.451	10.295	33.927
4638.740	11.360	10.306	32.937
4639.808	9.085	10.310	33.219
4640.876	10.459	10.303	33.753
4641.945	9.308	10.207	33.940
4643.014	11.477	10.096	34.490
4644.083	11.280	9.987	34.099
4645.153	11.731	9.928	33.178
4646.222	10.000	9.910	33.060
4647.292	9.522	9.881	32.358
4648.363	6.842	9.901	31.340
4649.433	10.479	9.946	31.065
4650.504	12.885	9.953	32.269
4651.575	10.729	10.034	33.495
4652.646	11.455	10.175	34.213
4653.717	12.284	10.205	34.317
4654.789	11.143	10.163	33.865
4655.861	10.951	10.084	32.918
4656.933	8.890	10.029	32.571
4658.006	11.256	9.990	33.563
4659.078	10.380	9.942	34.940
4660.151	11.418	9.899	35.201
4661.224	10.805	9.917	35.251
4662.298	8.992	9.982	35.565
4663.371	8.645	10.017	35.351
4664.445	11.091	9.999	34.016
4665.519	9.916	9.978	33.261
4666.594	9.387	10.017	32.374
4667.668	9.559	10.098	30.960
4668.743	8.854	10.101	30.438
4669.818	10.062	10.142	31.289
4670.894	9.977	10.239	32.610
4671.970	10.093	10.340	34.388
4673.045	11.765	10.423	34.310
4674.122	9.507	10.514	33.412
4675.198	8.821	10.549	33.669
4676.275	8.280	10.533	34.548
4677.351	9.054	10.496	35.073
4678.429	11.261	10.460	34.115
4679.506	12.179	10.446	32.937
4680.584	7.494	10.511	32.532
4681.661	10.428	10.521	32.921
4682.740	9.962	10.485	33.566
4683.818	10.142	10.463	32.976
4684.896	10.515	10.470	33.441
4685.975	12.549	10.477	33.511
4687.054	10.502	10.500	33.312
4688.134	10.015	10.527	33.256
4689.213	11.214	10.489	33.264
4690.293	10.769	10.474	32.791
4691.373	11.148	10.487	32.185
4692.454	11.563	10.439	32.421
4693.534	11.453	10.437	32.447
4694.615	12.198	10.375	32.806
4695.696	9.747	10.392	33.807
4696.778	11.532	10.399	34.176
4697.859	9.154	10.329	33.725
4698.941	9.030	10.250	32.159
4700.023	12.532	10.171	31.082
4701.106	9.949	10.155	29.625
4702.188	9.454	10.113	30.397
4703.271	11.463	10.048	31.070
4704.354	10.099	9.998	30.364
4705.437	10.799	9.974	30.838
4706.521	10.348	9.986	32.152
4707.605	12.127	9.989	32.387
4708.689	12.754	9.960	31.385
4709.773	11.061	9.852	31.144
4710.858	9.716	9.728	31.500
4711.943	8.560	9.707	32.079
4713.028	8.168	9.691	33.402
4714.113	9.357	9.744	33.375
4715.199	10.760	9.824	32.007
4716.285	10.725	9.923	31.723
4717.371	10.215	10.021	32.909
4718.457	13.146	10.053	34.102
4719.544	6.419	9.993	34.579
4720.630	11.464	10.028	34.531
4721.718	11.535	10.092	34.580
4722.805	10.273	10.184	33.982
4723.892	10.698	10.302	33.490
4724.980	10.340	10.380	34.518
4726.068	11.525	10.358	34.579
4727.157	10.742	10.256	33.787
4728.245	8.115	10.133	33.402
4729.334	9.695	9.977	32.291
4730.423	9.756	9.812	31.659
4731.513	9.532	9.687	31.228
4732.602	9.328	9.527	31.275
4733.692	7.479	9.475	32.038
4734.782	9.231	9.547	32.452
4735.872	10.623	9.702	32.626
4736.963	8.686	9.845	32.818
4738.054	9.316	9.906	32.821
4739.145	8.591	10.001	33.283
4740.236	8.927	9.994	34.408
4741.328	9.499	10.017	33.707
4742.420	10.831	10.038	32.895
4743.512	10.658	10.020	33.686
4744.604	8.612	10.008	34.385
4745.697	10.351	9.947	33.822
4746.790	10.419	9.893	33.393
4747.883	8.403	9.914	33.724
4748.976	9.423	9.972	32.927
4750.070	11.459	10.030	32.763
4751.164	9.789	10.086	33.161
4752.258	9.626	10.091	32.972
4753.352	11.780	10.073	32.939
4754.447	10.748	10.074	32.252
4755.542	9.250	10.058	31.154
4756.637	10.805	10.016	30.541
4757.732	11.436	9.997	30.468
4758.828	10.280	9.991	31.515
4759.924	8.530	10.049	32.831
4761.020	9.382	10.043	32.472
4762.116	10.294	10.030	32.173
4763.213	12.179	10.025	30.430
4764.310	8.128	9.922	30.129
4765.407	7.874	9.803	30.299
4766.504	7.901	9.784	29.658
4767.602	10.155	9.755	29.715
4768.700	10.747	9.720	30.389
4769.798	10.010	9.710	31.657
4770.897	8.939	9.715	32.108
4771.995	11.512	9.754	31.806
4773.094	9.300	9.763	31.864
4774.193	6.817	9.766	32.051
4775.293	9.173	9.791	32.509
4776.392	10.367	9.848	33.329
4777.492	9.716	9.918	33.302
4778.593	9.700	9.965	33.392
4779.693	8.790	9.971	34.039
4780.794	8.846	9.991	33.913
4781.895	11.332	10.070	32.995
4782.996	12.445	10.189	32.394
4784.097	10.467	10.288	31.767
4785.199	12.313	10.363	30.980
4786.301	10.534	10.447	31.200
4787.403	10.511	10.474	30.723
4788.506	10.543	10.469	30.519
4789.608	12.480	10.455	30.678
4790.711	9.192	10.406	30.911
4791.815	8.896	10.332	31.484
4792.918	11.502	10.205	31.504
4794.022	11.156	10.010	31.013
4795.126	10.230	9.865	31.386
4796.230	9.070	9.830	32.775
4797.334	10.181	9.845	33.003
4798.439	10.945	9.914	32.747
4799.544	10.064	9.990	32.048
4800.650	10.086	10.051	31.180
4801.755	12.097	10.093	31.078
4802.861	10.547	10.119	32.045
4803.967	8.285	10.142	32.467
4805.073	11.585	10.196	31.651
4806.180	12.057	10.242	31.095
4807.286	11.459	10.262	30.712
4808.393	9.631	10.279	30.116
4809.501	9.860	10.308	30.167
4810.608	11.332	10.339	30.508
4811.716	8.530	10.366	31.049
4812.824	10.145	10.468	31.096
4813.933	12.141	10.504	30.677
4815.041	11.577	10.465	31.071
4816.150	10.675	10.447	31.753
4817.259	11.182	10.481	32.588
4818.368	9.040	10.402	32.708
4819.478	11.442	10.333	32.296
4820.588	9.688	10.246	32.601
4821.698	9.433	10.177	32.772
4822.808	11.393	10.187	31.704
4823.919	11.104	10.240	30.976
4825.030	11.643	10.179	30.654
4826.141	10.785	10.245	30.807
4827.252	9.349	10.204	31.579
4828.364	10.852	10.089	31.824
4829.476	9.879	9.987	31.483
4830.588	8.604	9.875	31.587
4831.700	10.938	9.851	30.984
4832.813	10.012	9.866	31.092
4833.926	9.333	9.859	31.496
4835.039	10.206	9.903	31.257
4836.153	11.806	10.020	31.404
4837.266	10.267	10.123	31.298
4838.380	10.545	10.195	31.294
4839.494	8.660	10.227	31.247
4840.609	9.299	10.273	30.843
4841.724	10.587	10.341	30.270
4842.839	10.915	10.388	30.075
4843.954	9.103	10.382	30.174
4845.069	11.296	10.378	30.088
4846.185	10.864	10.353	31.066
4847.301	10.534	10.326	31.125
4848.417	11.388	10.243	30.851
4849.534	9.615	10.140	30.378
4850.651	9.517	10.129	30.050
4851.768	9.979	10.088	30.363
4852.885	10.163	10.072	30.635
4854.003	9.957	10.059	30.267
4855.120	9.140	10.053	29.097
4856.238	9.365	10.090	27.579
4857.357	10.391	10.165	26.698
4858.475	10.135	10.179	26.652
4859.594	9.667	10.315	25.930
4860.713	11.340	10.445	23.871
4861.833	12.304	10.504	21.441
4862.952	10.640	10.538	20.650
4864.072	10.665	10.560	22.348
4865.192	10.439	10.425	24.736
4866.313	10.853	10.373	26.334
4867.433	10.924	10.355	27.523
4868.554	10.084	10.342	28.283
4869.675	10.195	10.373	28.244
4870.797	10.705	10.436	27.872
4871.918	9.939	10.369	26.420
4873.040	10.053	10.314	24.789
4874.162	10.309	10.257	25.468
4875.285	11.005	10.205	27.352
4876.408	10.017	10.197	28.353
4877.531	10.849	10.238	28.439
4878.654	12.545	10.256	28.355
4879.777	10.685	10.295	28.922
4880.901	9.628	10.332	29.241
4882.025	10.520	10.366	29.025
4883.149	10.822	10.409	29.015
4884.274	11.247	10.456	29.051
4885.399	10.894	10.500	28.708
4886.524	10.463	10.540	27.996
4887.649	10.920	10.476	27.334
4888.774	10.802	10.402	27.359
4889.900	10.590	10.359	27.767
4891.026	9.648	10.259	26.438
4892.153	9.528	10.193	25.421
4893.279	10.985	10.224	26.383
4894.406	11.591	10.243	28.422
4895.533	10.948	10.228	30.262
4896.661	11.940	10.190	30.457
4897.788	9.927	10.127	30.703
4898.916	8.333	10.108	30.273
4900.044	11.468	10.148	29.323
4901.173	10.748	10.173	28.858
4902.301	13.694	10.188	28.728
4903.430	8.179	10.189	28.954
4904.559	8.159	10.150	29.023
4905.689	10.528	10.144	29.724
4906.819	9.554	10.104	30.618
4907.949	7.321	10.046	30.418
4909.079	9.395	10.022	29.492
4910.209	9.601	10.023	28.963
4911.340	9.991	9.996	28.266
4912.471	11.637	10.020	27.839
4913.602	11.295	10.057	28.361
4914.734	9.213	10.084	29.312
4915.866	11.038	10.064	29.544
4916.998	10.266	10.001	29.484
4918.130	9.208	9.958	28.745
4919.263	9.743	9.958	27.151
4920.395	8.331	9.903	25.039
4921.528	8.570	9.753	23.818
4922.662	9.011	9.595	24.786
4923.795	8.312	9.463	26.690
4924.929	8.690	9.307	27.153
4926.063	9.693	9.234	27.584
4927.198	7.525	9.527	28.208
4928.332	7.183	10.366	28.381
4929.467	10.259	11.026	28.948
4930.603	7.676	10.814	29.483
4931.738	9.976	9.912	29.217
4932.874	7.417	9.305	29.151
4934.010	6.999	9.285	27.797
4935.146	9.453	9.329	27.011
4936.282	10.158	9.341	27.508
4937.419	8.189	9.386	27.361
4938.556	11.168	9.383	27.086
4939.693	7.300	9.357	27.091
4940.831	9.090	9.409	27.021
4941.969	10.381	9.470	27.949
4943.107	9.605	9.572	29.479
4944.245	11.148	9.704	28.599
4945.384	10.634	9.776	28.732
4946.523	8.478	9.886	29.134
4947.662	10.120	9.973	28.557
4948.801	9.955	9.980	29.257
4949.941	8.971	9.937	29.916
4951.081	11.120	9.901	29.456
4952.221	9.644	9.882	29.516
4953.361	8.413	9.791	29.554
4954.502	9.524	9.707	29.111
4955.643	8.729	9.674	29.228
4956.784	9.677	9.671	28.092
4957.926	9.958	9.649	25.534
4959.067	7.518	9.617	24.503
4960.209	7.473	9.703	26.204
4961.352	8.363	9.886	28.316
4962.494	10.707	10.105	28.873
4963.637	12.078	10.307	28.797
4964.780	10.659	10.454	28.919
4965.923	9.781	10.521	28.804
4967.067	10.021	10.512	28.396
4968.211	11.222	10.416	28.282
4969.355	9.480	10.328	28.042
4970.499	9.963	10.311	28.110
4971.644	10.783	10.315	28.171
4972.789	9.617	10.275	28.658
4973.934	10.292	10.350	29.527
4975.079	11.662	10.387	29.437
4976.225	9.836	10.343	29.647
4977.371	10.140	10.234	30.218
4978.517	9.626	10.127	29.603
4979.664	9.436	10.090	29.152
4980.810	8.922	10.063	29.439
4981.957	10.591	10.162	29.652
4983.105	8.277	10.178	28.769
4984.252	10.691	10.166	27.086
4985.400	10.331	10.152	26.785
4986.548	11.535	9.967	27.578
4987.696	10.843	9.696	28.706
4988.845	6.969	9.501	29.896
4989.994	9.881	9.488	29.557
4991.143	8.939	9.579	28.865
4992.292	8.810	9.680	28.508
4993.442	9.164	9.802	27.941
4994.592	10.765	9.993	27.793
4995.742	9.385	10.146	28.230
4996.892	9.430	10.282	28.398
4998.043	10.905	10.404	28.458
4999.194	10.955	10.466	28.015
5000.345	11.687	10.428	27.323
5001.497	10.677	10.341	26.916
5002.649	9.657	10.195	26.454
5003.801	11.685	10.106	25.845
5004.953	11.547	10.070	25.778
5006.106	9.335	10.002	25.611
5007.258	9.672	9.891	24.591
5008.411	10.907	9.907	24.559
5009.565	9.758	9.983	25.501
5010.718	10.022	10.146	26.915
5011.872	11.404	10.311	27.016
5013.026	10.866	10.405	25.482
5014.181	11.783	10.466	25.216
5015.336	12.079	10.526	24.735
5016.491	8.599	10.590	24.870
5017.646	9.330	10.598	24.881
5018.801	10.027	10.606	24.406
5019.957	10.470	10.636	24.512
5021.113	9.561	10.600	25.561
5022.269	10.701	10.481	25.126
5023.426	11.364	10.440	25.006
5024.583	8.035	10.258	25.678
5025.740	10.546	10.150	26.021
5026.897	7.997	10.335	26.248
5028.055	8.433	10.649	25.561
5029.213	10.960	10.832	25.165
5030.371	11.507	10.651	25.670
5031.529	11.142	10.394	26.474
5032.688	11.861	10.238	26.798
5033.847	10.303	10.178	27.264
5035.006	8.415	10.119	27.430
5036.166	10.032	9.973	26.361
5037.325	10.270	9.969	25.220
5038.485	10.575	10.001	24.773
5039.646	9.433	10.060	25.183
5040.806	9.621	10.153	25.014
5041.967	10.157	10.214	23.177
5043.128	11.471	10.290	22.655
5044.289	10.580	10.284	24.245
5045.451	10.687	10.231	26.034
5046.613	9.713	10.161	27.036
5047.775	9.911	10.068	27.243
5048.938	9.253	9.928	26.387
5050.100	8.504	9.726	25.503
5051.263	9.745	9.590	24.889
5052.426	8.583	9.518	25.187
5053.590	7.601	9.478	25.723
5054.754	8.201	9.528	26.032
5055.918	7.877	9.729	26.855
5057.082	8.969	9.841	26.812
5058.247	10.047	9.888	26.481
5059.411	10.248	9.952	26.653
5060.577	11.028	9.972	26.808
5061.742	11.316	9.963	26.713
5062.908	11.019	10.035	26.883
5064.073	9.593	10.000	26.989
5065.240	9.847	9.972	26.469
5066.406	10.319	9.992	25.242
5067.573	9.698	9.994	25.235
5068.740	9.078	9.922	25.926
5069.907	8.370	9.809	25.648
5071.075	8.748	9.742	26.469
5072.242	9.910	9.699	26.872
5073.410	8.089	9.716	25.931
5074.579	11.859	10.069	25.387
5075.747	9.342	10.852	25.670
5076.916	11.779	11.616	25.702
5078.085	10.401	11.584	26.478
5079.255	10.080	10.799	26.090
5080.424	9.792	10.096	24.684
5081.594	8.775	9.729	23.954
5082.765	9.269	9.540	24.906
5083.935	9.060	9.404	26.453
5085.106	10.710	9.380	26.302
5086.277	9.712	9.391	27.235
5087.448	8.975	9.392	27.871
5088.620	9.562	9.393	27.405
5089.792	8.281	9.438	27.009
5090.964	10.043	9.533	26.144
5092.136	10.140	9.561	25.789
5093.309	11.593	9.587	26.188
5094.482	9.255	9.643	26.628
5095.655	8.987	9.712	26.522
5096.828	9.883	9.745	26.131
5098.002	8.663	9.726	25.893
5099.176	10.983	9.787	24.396
5100.350	8.611	9.900	23.900
5101.525	8.443	9.967	24.873
5102.700	11.828	10.017	25.647
5103.875	11.232	10.047	25.794
5105.050	10.084	9.965	26.507
5106.226	7.506	9.833	25.807
5107.402	8.618	9.701	25.385
5108.578	7.723	9.575	24.614
5109.754	9.057	9.431	23.901
5110.931	8.024	9.304	24.081
5112.108	7.978	9.299	24.587
5113.285	10.320	9.445	25.121
5114.463	10.398	9.630	25.236
5115.640	11.916	9.825	25.283
5116.818	9.754	9.953	25.914
5117.997	10.094	9.962	26.217
5119.175	9.116	9.888	26.502
5120.354	9.461	9.789	26.360
5121.533	9.978	9.762	25.694
5122.713	8.629	9.746	24.884
5123.892	9.385	9.804	24.212
5125.072	10.837	9.959	23.638
5126.253	9.904	10.077	23.686
5127.433	10.149	10.102	23.524
5128.614	10.231	10.182	23.267
5129.795	10.597	10.267	23.417
5130.976	12.354	10.307	23.508
5132.158	11.115	10.284	23.543
5133.340	11.371	10.196	23.846
5134.522	11.079	10.063	24.047
5135.704	8.972	9.916	24.361
5136.887	9.406	9.822	24.320
5138.070	9.043	9.779	24.003
5139.253	9.905	9.784	23.191
5140.437	10.808	9.841	22.697
5141.620	9.222	9.819	23.150
5142.804	9.900	9.801	23.350
5143.989	9.581	9.792	23.525
5145.173	8.013	9.804	24.022
5146.358	10.156	9.790	23.999
5147.543	11.032	9.682	23.619
5148.729	10.035	9.637	23.652
5149.914	10.952	9.540	24.537
5151.100	10.332	9.472	24.993
5152.286	9.400	9.412	24.684
5153.473	8.754	9.371	24.500
5154.660	8.083	9.446	24.698
5155.847	9.579	9.557	24.689
5157.034	11.237	9.656	24.452
5158.222	10.640	9.751	24.433
5159.410	10.383	9.834	24.838
5160.598	11.475	9.898	24.794
5161.786	10.249	9.950	24.669
5162.975	10.050	9.972	24.149
5164.164	10.792	9.997	23.718
5165.353	9.778	10.023	23.383
5166.542	9.782	9.971	22.136
5167.732	9.357	9.828	19.701
5168.922	10.341	9.695	18.169
5170.113	8.459	9.601	19.103
5171.303	8.872	9.574	20.434
5172.494	9.620	9.628	19.462
5173.685	9.832	9.657	17.602
5174.877	9.561	9.633	18.295
5176.068	9.643	9.654	20.952
5177.260	9.469	9.629	23.170
5178.453	8.948	9.613	23.855
5179.645	7.757	9.611	24.046
5180.838	8.176	9.606	24.374
5182.031	8.485	9.607	23.418
5183.224	9.150	9.660	20.691
5184.418	9.215	9.787	17.454
5185.612	10.477	9.873	17.148
5186.806	11.185	9.947	19.682
5188.000	9.978	9.990	22.900
5189.195	9.907	9.996	24.294
5190.390	10.771	9.989	23.760
5191.585	10.737	9.879	23.306
5192.781	11.315	9.763	22.264
5193.977	10.914	9.646	21.627
5195.173	9.263	9.541	22.255
5196.369	8.687	9.443	22.535
5197.566	8.792	9.345	22.466
5198.763	10.246	9.343	23.977
5199.960	9.828	9.366	25.083
5201.157	9.238	9.359	25.064
5202.355	8.852	9.421	25.315
5203.553	8.997	9.536	24.895
5204.752	10.480	9.560	24.557
5205.950	9.818	9.694	23.088
5207.149	9.116	9.689	21.941
5208.348	9.544	9.651	21.939
5209.547	8.596	9.611	22.329
5210.747	9.748	9.538	22.997
5211.947	7.702	9.456	24.353
5213.147	9.371	9.410	24.557
5214.348	10.360	9.411	23.680
5215.549	8.815	9.433	23.597
5216.750	9.121	9.430	22.929
5217.951	8.761	9.395	22.697
5219.153	9.999	9.367	22.795
5220.355	7.512	9.358	23.509
5221.557	7.895	9.381	24.692
5222.759	10.014	9.397	24.525
5223.962	10.226	9.378	24.309
5225.165	12.458	9.370	24.224
5226.368	10.119	9.448	23.530
5227.572	9.627	9.518	21.821
5228.776	8.849	9.628	20.716
5229.980	10.143	9.698	21.940
5231.184	10.365	9.724	23.470
5232.389	10.250	9.716	24.034
5233.594	10.043	9.625	23.174
5234.799	9.610	9.463	22.230
5236.004	10.158	9.247	22.409
5237.210	10.423	8.928	23.196
5238.416	9.118	8.578	24.210
5239.623	7.613	8.301	25.286
5240.829	6.419	8.136	25.008
5242.036	9.261	8.115	24.452
5243.243	7.700	8.066	23.922
5244.451	8.416	8.037	22.858
5245.658	8.148	8.125	23.220
5246.866	7.724	8.359	23.993
5248.075	9.487	8.656	23.933
5249.283	9.632	8.861	23.578
5250.492	10.482	8.959	23.603
5251.701	9.024	8.951	23.448
5252.910	10.424	8.866	23.083
5254.120	9.135	8.704	23.529
5255.330	8.147	8.461	23.899
5256.540	8.843	8.315	24.359
5257.751	8.627	8.444	25.005
5258.962	10.457	8.726	25.073
5260.173	11.810	8.990	24.305
5261.384	10.404	9.171	23.653
5262.596	8.098	9.313	22.927
5263.808	10.236	9.381	21.168
5265.020	8.843	9.290	20.433
5266.232	8.480	9.258	19.853
5267.445	8.751	9.349	19.602
5268.658	10.094	9.483	20.403
5269.871	10.486	9.594	20.923
5271.085	9.144	9.737	20.282
5272.299	10.188	9.790	20.878
5273.513	11.568	9.773	21.713
5274.727	9.217	9.686	22.624
5275.942	8.689	9.554	23.111
5277.157	9.166	9.427	23.461
5278.372	8.956	9.183	23.492
5279.588	9.614	9.056	23.614
5280.803	8.015	9.040	23.833
5282.019	8.158	9.097	23.068
5283.236	8.619	9.225	21.795
5284.453	9.210	9.418	21.781
5285.669	10.434	9.584	22.137
5286.887	9.882	9.720	23.028
5288.104	9.389	9.764	23.727
5289.322	10.313	9.777	23.847
5290.540	9.363	9.842	24.089
5291.758	10.881	9.949	24.337
5292.977	12.881	10.035	24.578
5294.196	10.572	9.990	24.530
5295.415	9.535	9.919	24.325
5296.634	8.790	9.824	23.568
5297.854	8.378	9.635	22.776
5299.074	9.517	9.402	21.983
5300.294	8.094	9.393	22.661
5301.515	8.277	9.478	23.391
5302.736	9.384	9.625	23.046
5303.957	9.818	9.752	23.308
5305.178	9.804	9.810	23.886
5306.400	10.315	9.845	23.788
5307.622	8.778	9.870	24.099
5308.844	8.375	9.922	23.842
5310.067	10.389	10.040	23.305
5311.290	12.090	10.143	23.677
5312.513	11.493	10.188	24.116
5313.736	11.649	10.241	24.070
5314.960	10.747	10.255	24.186
5316.184	10.950	10.235	23.505
5317.408	10.384	10.202	22.504
5318.633	11.120	10.141	22.521
5319.858	11.312	10.052	23.142
5321.083	9.529	9.971	23.540
5322.308	10.056	9.867	23.430
5323.534	7.941	9.840	23.335
5324.760	8.054	9.856	22.854
5325.986	10.135	9.889	21.962
5327.212	8.045	9.938	22.369
5328.439	10.894	9.989	20.686
5329.666	12.253	10.014	19.108
5330.893	9.592	10.104	20.328
5332.121	10.607	10.158	22.181
5333.349	10.542	10.103	22.854
5334.577	10.944	9.941	22.973
5335.806	10.061	9.714	23.118
5337.034	8.891	9.436	23.364
5338.263	8.113	9.230	23.489
5339.493	6.368	9.052	22.726
5340.722	8.584	8.968	22.483
5341.952	9.002	8.989	21.680
5343.182	9.679	8.986	21.505
5344.413	7.481	9.024	22.707
5345.644	8.398	9.215	23.087
5346.875	8.846	9.432	22.638
5348.106	9.336	9.600	22.377
5349.338	9.641	9.732	22.425
5350.569	9.851	9.859	22.622
5351.802	9.840	10.008	23.189
5353.034	9.795	10.109	23.250
5354.267	9.835	10.125	23.010
5355.500	9.613	10.081	23.085
5356.733	9.816	10.049	23.955
5357.967	10.484	10.102	24.471
5359.200	10.625	10.239	23.729
5360.435	12.050	10.369	23.241
5361.669	10.710	10.431	23.429
5362.904	10.225	10.498	22.699
5364.139	9.926	10.597	21.861
5365.374	11.063	10.619	21.754
5366.610	9.781	10.543	21.517
5367.845	10.745	10.437	21.323
5369.082	11.342	10.327	21.300
5370.318	9.720	10.178	21.213
5371.555	9.570	9.999	20.438
5372.792	9.931	9.919	20.097
5374.029	9.501	10.065	21.278
5375.266	9.380	10.161	22.585
5376.504	10.731	10.246	23.123
5377.742	11.514	10.367	22.755
5378.981	9.935	10.482	22.638
5380.220	9.619	10.548	22.553
5381.459	10.882	10.642	21.917
5382.698	10.997	10.656	21.563
5383.937	9.858	10.712	21.212
5385.177	10.411	10.738	21.317
5386.417	11.409	10.668	22.009
5387.658	10.722	10.625	22.510
5388.898	10.228	10.585	22.149
5390.139	10.159	10.528	21.544
5391.381	11.521	10.486	21.110
5392.622	9.808	10.442	21.228
5393.864	11.995	10.385	21.659
5395.106	9.633	10.345	21.596
5396.349	10.581	10.305	21.075
5397.591	9.933	10.188	20.515
5398.834	10.239	10.031	20.316
5400.078	10.984	9.869	20.266
5401.321	8.190	9.715	20.484
5402.565	9.309	9.603	21.040
5403.809	9.013	9.587	21.020
5405.054	10.058	9.700	20.359
5406.298	8.946	9.860	19.382
5407.543	10.891	10.018	19.443
5408.789	10.892	10.165	20.271
5410.034	9.748	10.273	20.794
5411.280	10.392	10.265	20.598
5412.526	9.008	10.275	20.667
5413.772	10.255	10.237	21.156
5415.019	10.274	10.137	20.762
5416.266	9.221	10.060	20.599
5417.513	12.059	10.094	20.838
5418.761	11.681	10.184	21.353
5420.009	8.830	10.168	21.543
5421.257	9.112	10.180	21.440
5422.505	11.201	10.196	21.525
5423.754	9.546	10.176	21.370
5425.003	9.252	10.239	20.791
5426.253	9.259	10.412	20.514
5427.502	9.928	10.514	21.335
5428.752	10.034	10.612	21.910
5430.002	11.249	10.693	21.023
5431.253	11.423	10.734	20.513
5432.503	10.626	10.787	20.772
5433.754	11.317	10.760	20.939
5435.006	10.657	10.732	20.794
5436.257	10.666	10.651	20.751
5437.509	9.993	10.523	21.137
5438.761	10.470	10.413	21.259
5440.014	9.855	10.345	21.704
5441.267	8.948	10.207	22.740
5442.520	10.955	10.140	22.558
5443.773	9.906	10.056	22.563
5445.027	10.530	9.948	21.826
5446.280	8.359	9.914	21.191
5447.535	8.575	10.011	20.416
5448.789	10.217	10.094	19.913
5450.044	11.327	10.274	20.938
5451.299	12.233	10.382	21.884
5452.554	8.985	10.426	22.331
5453.810	9.594	10.483	21.910
5455.066	10.595	10.511	21.581
5456.322	12.186	10.471	20.463
5457.579	12.400	10.432	19.982
5458.835	9.500	10.376	21.650
5460.092	9.362	10.362	26.607
5461.350	13.131	10.402	36.918
5462.608	11.926	10.385	42.572
5463.865	12.062	10.359	35.828
5465.124	10.720	10.234	26.541
5466.382	10.306	10.125	22.855
5467.641	9.180	10.069	22.494
5468.900	9.699	10.030	22.578
5470.160	9.214	9.975	22.435
5471.419	9.425	9.866	22.076
5472.679	11.533	9.867	21.724
5473.940	9.900	9.884	21.632
5475.200	9.901	9.894	21.384
5476.461	10.309	9.922	20.959
5477.722	10.403	9.922	20.379
5478.984	8.940	9.825	20.110
5480.245	8.596	9.746	20.970
5481.507	7.917	9.687	21.585
5482.770	9.702	9.648	21.723
5484.032	8.933	9.670	22.012
5485.295	9.558	9.783	22.436
5486.558	10.368	9.878	22.756
5487.822	8.416	10.034	22.094
5489.086	10.306	10.166	21.308
5490.350	11.436	10.240	20.739
5491.614	10.310	10.286	20.949
5492.879	11.234	10.343	21.599
5494.144	11.035	10.419	21.427
5495.409	10.414	10.388	21.053
5496.674	10.939	10.347	21.009
5497.940	8.396	10.326	21.148
5499.206	10.456	10.294	21.355
5500.473	10.693	10.269	21.333
5501.739	9.266	10.311	21.521
5503.006	7.974	10.263	21.385
5504.273	9.469	10.198	20.924
5505.541	8.531	10.107	20.787
5506.809	9.846	10.012	20.732
5508.077	11.230	10.030	20.817
5509.345	9.323	10.008	20.986
5510.614	8.805	9.966	21.314
5511.883	11.118	10.006	21.225
5513.152	11.307	10.123	20.580
5514.422	10.060	10.276	20.479
5515.692	8.344	10.440	21.359
5516.962	12.110	10.479	21.564
5518.233	11.377	10.530	21.404
5519.503	11.679	10.460	21.378
5520.774	10.153	10.305	21.821
5522.046	9.770	10.183	22.331
5523.317	10.112	10.107	21.981
5524.589	9.739	10.089	21.645
5525.862	8.634	10.119	21.536
